"Metric","Value","Page"
"Number of redirects to this page","1","Christian_Sauter"
"Counted as a content page","Yes","Christian_Sauter"
"Wikidata item ID","Q92789675","Christian_Sauter"
"Local description","Topics referred to by the same term","Christian_Sauter"
"Central description","Wikimedia disambiguation page","Christian_Sauter"
"Page views in the past 30 days","2","Christian_Sauter"
"Display title","Marcus Faber","Marcus_Faber"
"Default sort key","Faber, Marcus","Marcus_Faber"
"Page length (in bytes)","4,988","Marcus_Faber"
"Namespace ID","0","Marcus_Faber"
"Page ID","63380432","Marcus_Faber"
"Page content language","en - English","Marcus_Faber"
"Page content model","wikitext","Marcus_Faber"
"Indexing by robots","Allowed","Marcus_Faber"
"Number of page watchers","Fewer than 30 watchers","Marcus_Faber"
"Number of redirects to this page","0","Marcus_Faber"
"Counted as a content page","Yes","Marcus_Faber"
"Wikidata item ID","Q27882896","Marcus_Faber"
"Local description","German politician (born 1984)","Marcus_Faber"
"Central description","German politician","Marcus_Faber"
"Page image","","Marcus_Faber"
"Page views in the past 30 days","219","Marcus_Faber"
"Display title","Jürgen Braun","Jürgen_Braun"
"Default sort key","Braun, Jurgen","Jürgen_Braun"
"Page length (in bytes)","4,890","Jürgen_Braun"
"Namespace ID","0","Jürgen_Braun"
"Page ID","63408907","Jürgen_Braun"
"Page content language","en - English","Jürgen_Braun"
"Page content model","wikitext","Jürgen_Braun"
"Indexing by robots","Allowed","Jürgen_Braun"
"Number of page watchers","Fewer than 30 watchers","Jürgen_Braun"
"Number of redirects to this page","0","Jürgen_Braun"
"Counted as a content page","Yes","Jürgen_Braun"
"Wikidata item ID","Q40994438","Jürgen_Braun"
"Local description","German politician","Jürgen_Braun"
"Central description","German politician (AfD)","Jürgen_Braun"
"Page image","","Jürgen_Braun"
"Page views in the past 30 days","66","Jürgen_Braun"
"Display title","Kerstin Vieregge","Kerstin_Vieregge"
"Default sort key","Vieregge, Kerstin","Kerstin_Vieregge"
"Page length (in bytes)","2,951","Kerstin_Vieregge"
"Namespace ID","0","Kerstin_Vieregge"
"Page ID","63451461","Kerstin_Vieregge"
"Page content language","en - English","Kerstin_Vieregge"
"Page content model","wikitext","Kerstin_Vieregge"
"Indexing by robots","Allowed","Kerstin_Vieregge"
"Number of page watchers","Fewer than 30 watchers","Kerstin_Vieregge"
"Number of redirects to this page","0","Kerstin_Vieregge"
"Counted as a content page","Yes","Kerstin_Vieregge"
"Wikidata item ID","Q40999043","Kerstin_Vieregge"
"Local description","German politician","Kerstin_Vieregge"
"Central description","German politician","Kerstin_Vieregge"
"Page image","","Kerstin_Vieregge"
"Page views in the past 30 days","31","Kerstin_Vieregge"
"Display title","Thomas Erndl","Thomas_Erndl"
"Default sort key","Erndl, Thomas","Thomas_Erndl"
"Page length (in bytes)","3,483","Thomas_Erndl"
"Namespace ID","0","Thomas_Erndl"
"Page ID","63452083","Thomas_Erndl"
"Page content language","en - English","Thomas_Erndl"
"Page content model","wikitext","Thomas_Erndl"
"Indexing by robots","Allowed","Thomas_Erndl"
"Number of page watchers","Fewer than 30 watchers","Thomas_Erndl"
"Number of redirects to this page","0","Thomas_Erndl"
"Counted as a content page","Yes","Thomas_Erndl"
"Wikidata item ID","Q40998551","Thomas_Erndl"
"Local description","German politician (born 1974)","Thomas_Erndl"
"Central description","German politician (CSU)","Thomas_Erndl"
"Page image","","Thomas_Erndl"
"Page views in the past 30 days","50","Thomas_Erndl"
"Display title","Gyde Jensen","Gyde_Jensen"
"Default sort key","Jensen, Gyde","Gyde_Jensen"
"Page length (in bytes)","11,351","Gyde_Jensen"
"Namespace ID","0","Gyde_Jensen"
"Page ID","62642443","Gyde_Jensen"
"Page content language","en - English","Gyde_Jensen"
"Page content model","wikitext","Gyde_Jensen"
"Indexing by robots","Allowed","Gyde_Jensen"
"Number of page watchers","Fewer than 30 watchers","Gyde_Jensen"
"Number of redirects to this page","0","Gyde_Jensen"
"Counted as a content page","Yes","Gyde_Jensen"
"Wikidata item ID","Q40999997","Gyde_Jensen"
"Local description","German politician","Gyde_Jensen"
"Central description","German politician (FDP)","Gyde_Jensen"
"Page image","","Gyde_Jensen"
"Page views in the past 30 days","196","Gyde_Jensen"
"Display title","Anna Christmann","Anna_Christmann"
"Default sort key","Christmann, Anna","Anna_Christmann"
"Page length (in bytes)","4,944","Anna_Christmann"
"Namespace ID","0","Anna_Christmann"
"Page ID","61804772","Anna_Christmann"
"Page content language","en - English","Anna_Christmann"
"Page content model","wikitext","Anna_Christmann"
"Indexing by robots","Allowed","Anna_Christmann"
"Number of page watchers","Fewer than 30 watchers","Anna_Christmann"
"Number of redirects to this page","0","Anna_Christmann"
"Counted as a content page","Yes","Anna_Christmann"
"Wikidata item ID","Q40997480","Anna_Christmann"
"Local description","German politician (Alliance 90/The Greens)","Anna_Christmann"
"Central description","German politician (B'90/Grüne)","Anna_Christmann"
"Page image","","Anna_Christmann"
"Page views in the past 30 days","128","Anna_Christmann"
"Display title","Siemtje Möller","Siemtje_Möller"
"Default sort key","Moller, Siemtje","Siemtje_Möller"
"Page length (in bytes)","7,689","Siemtje_Möller"
"Namespace ID","0","Siemtje_Möller"
"Page ID","63430548","Siemtje_Möller"
"Page content language","en - English","Siemtje_Möller"
"Page content model","wikitext","Siemtje_Möller"
"Indexing by robots","Allowed","Siemtje_Möller"
"Number of page watchers","Fewer than 30 watchers","Siemtje_Möller"
"Number of redirects to this page","0","Siemtje_Möller"
"Counted as a content page","Yes","Siemtje_Möller"
"Wikidata item ID","Q40998750","Siemtje_Möller"
"Local description","German politician (born 1983)","Siemtje_Möller"
"Central description","German politician","Siemtje_Möller"
"Page image","","Siemtje_Möller"
"Page views in the past 30 days","166","Siemtje_Möller"
"Display title","Marcus Bühl","Marcus_Bühl"
"Default sort key","Buhl, Marcus","Marcus_Bühl"
"Page length (in bytes)","2,525","Marcus_Bühl"
"Namespace ID","0","Marcus_Bühl"
"Page ID","63409276","Marcus_Bühl"
"Page content language","en - English","Marcus_Bühl"
"Page content model","wikitext","Marcus_Bühl"
"Indexing by robots","Allowed","Marcus_Bühl"
"Number of page watchers","Fewer than 30 watchers","Marcus_Bühl"
"Number of redirects to this page","0","Marcus_Bühl"
"Counted as a content page","Yes","Marcus_Bühl"
"Wikidata item ID","Q40813093","Marcus_Bühl"
"Local description","German politician (born 1977)","Marcus_Bühl"
"Central description","German politician","Marcus_Bühl"
"Page image","","Marcus_Bühl"
"Page views in the past 30 days","46","Marcus_Bühl"
"Display title","Thomas Seitz","Thomas_Seitz"
"Default sort key","Seitz, Thomas","Thomas_Seitz"
"Page length (in bytes)","1,953","Thomas_Seitz"
"Namespace ID","0","Thomas_Seitz"
"Page ID","62198880","Thomas_Seitz"
"Page content language","en - English","Thomas_Seitz"
"Page content model","wikitext","Thomas_Seitz"
"Indexing by robots","Allowed","Thomas_Seitz"
"Number of page watchers","Fewer than 30 watchers","Thomas_Seitz"
"Number of redirects to this page","0","Thomas_Seitz"
"Counted as a content page","Yes","Thomas_Seitz"
"Wikidata item ID","Q40436370","Thomas_Seitz"
"Local description","German lawyer and politician","Thomas_Seitz"
"Central description","German politician","Thomas_Seitz"
"Page image","","Thomas_Seitz"
"Page views in the past 30 days","194","Thomas_Seitz"
"Display title","Sandra Weeser","Sandra_Weeser"
"Default sort key","Weeser, Sandra","Sandra_Weeser"
"Page length (in bytes)","4,415","Sandra_Weeser"
"Namespace ID","0","Sandra_Weeser"
"Page ID","63390536","Sandra_Weeser"
"Page content language","en - English","Sandra_Weeser"
"Page content model","wikitext","Sandra_Weeser"
"Indexing by robots","Allowed","Sandra_Weeser"
"Number of page watchers","Fewer than 30 watchers","Sandra_Weeser"
"Number of redirects to this page","0","Sandra_Weeser"
"Counted as a content page","Yes","Sandra_Weeser"
"Wikidata item ID","Q40999117","Sandra_Weeser"
"Local description","German politician","Sandra_Weeser"
"Central description","politician from Germany","Sandra_Weeser"
"Page image","","Sandra_Weeser"
"Page views in the past 30 days","71","Sandra_Weeser"
"Display title","Mario Brandenburg","Mario_Brandenburg"
"Default sort key","Brandenburg, Mario","Mario_Brandenburg"
"Page length (in bytes)","5,752","Mario_Brandenburg"
"Namespace ID","0","Mario_Brandenburg"
"Page ID","63379510","Mario_Brandenburg"
"Page content language","en - English","Mario_Brandenburg"
"Page content model","wikitext","Mario_Brandenburg"
"Indexing by robots","Allowed","Mario_Brandenburg"
"Number of page watchers","Fewer than 30 watchers","Mario_Brandenburg"
"Number of redirects to this page","0","Mario_Brandenburg"
"Counted as a content page","Yes","Mario_Brandenburg"
"Wikidata item ID","Q40999277","Mario_Brandenburg"
"Local description","German politician","Mario_Brandenburg"
"Central description","politician from Germany, member of parliament","Mario_Brandenburg"
"Page image","","Mario_Brandenburg"
"Page views in the past 30 days","50","Mario_Brandenburg"
"Display title","Carina Konrad","Carina_Konrad"
"Default sort key","Konrad, Carina","Carina_Konrad"
"Page length (in bytes)","6,748","Carina_Konrad"
"Namespace ID","0","Carina_Konrad"
"Page ID","63383661","Carina_Konrad"
"Page content language","en - English","Carina_Konrad"
"Page content model","wikitext","Carina_Konrad"
"Indexing by robots","Allowed","Carina_Konrad"
"Number of page watchers","Fewer than 30 watchers","Carina_Konrad"
"Number of redirects to this page","0","Carina_Konrad"
"Counted as a content page","Yes","Carina_Konrad"
"Wikidata item ID","Q40999227","Carina_Konrad"
"Local description","German politician","Carina_Konrad"
"Central description","politician from Germany","Carina_Konrad"
"Page image","","Carina_Konrad"
"Page views in the past 30 days","85","Carina_Konrad"
"Display title","Silvia Breher","Silvia_Breher"
"Default sort key","Breher, Silvia","Silvia_Breher"
"Page length (in bytes)","8,784","Silvia_Breher"
"Namespace ID","0","Silvia_Breher"
"Page ID","62411123","Silvia_Breher"
"Page content language","en - English","Silvia_Breher"
"Page content model","wikitext","Silvia_Breher"
"Indexing by robots","Allowed","Silvia_Breher"
"Number of page watchers","Fewer than 30 watchers","Silvia_Breher"
"Number of redirects to this page","0","Silvia_Breher"
"Counted as a content page","Yes","Silvia_Breher"
"Wikidata item ID","Q40998761","Silvia_Breher"
"Local description","German politician (born 1973)","Silvia_Breher"
"Central description","German politician (CDU)","Silvia_Breher"
"Page image","","Silvia_Breher"
"Page views in the past 30 days","397","Silvia_Breher"
"Display title","Martin Hess","Martin_Hess"
"Default sort key","Martin Hess","Martin_Hess"
"Page length (in bytes)","155","Martin_Hess"
"Namespace ID","0","Martin_Hess"
"Page ID","69029183","Martin_Hess"
"Page content language","en - English","Martin_Hess"
"Page content model","wikitext","Martin_Hess"
"Indexing by robots","Allowed","Martin_Hess"
"Number of page watchers","Fewer than 30 watchers","Martin_Hess"
"Number of redirects to this page","2","Martin_Hess"
"Counted as a content page","Yes","Martin_Hess"
"Wikidata item ID","Q41080799","Martin_Hess"
"Local description","Topics referred to by the same term","Martin_Hess"
"Central description","Wikimedia disambiguation page","Martin_Hess"
"Page views in the past 30 days","6","Martin_Hess"
"Display title","Benjamin Strasser","Benjamin_Strasser"
"Default sort key","Strasser, Benjamin","Benjamin_Strasser"
"Page length (in bytes)","7,309","Benjamin_Strasser"
"Namespace ID","0","Benjamin_Strasser"
"Page ID","63389307","Benjamin_Strasser"
"Page content language","en - English","Benjamin_Strasser"
"Page content model","wikitext","Benjamin_Strasser"
"Indexing by robots","Allowed","Benjamin_Strasser"
"Number of page watchers","Fewer than 30 watchers","Benjamin_Strasser"
"Number of redirects to this page","0","Benjamin_Strasser"
"Counted as a content page","Yes","Benjamin_Strasser"
"Wikidata item ID","Q40998001","Benjamin_Strasser"
"Local description","German politician","Benjamin_Strasser"
"Central description","German politician","Benjamin_Strasser"
"Page image","","Benjamin_Strasser"
"Page views in the past 30 days","67","Benjamin_Strasser"
